,Trig,Date,Time UT,Ra,Dec,Sat
315,653427483,2021-09-15,19:37:59,312.2,-35.1,Fermi
316,653402626,2021-09-15,12:43:41,167.767,35.467,Fermi
317,653411259,2021-09-15,15:07:34,149.62,39.45,Fermi
318,653506116,2021-09-16,17:28:31,287.54,25.96,Fermi
319,653544832,2021-09-17,4:13:48,171.733,10.2,Fermi
320,653543152,2021-09-17,3:45:47,75.47,-36.18,Fermi
321,653654352,2021-09-18,10:39:07,188.417,-80.1,Fermi
322,653640254,2021-09-18,6:44:09,182.55,-64.84,Fermi
323,653628043,2021-09-18,3:20:38,96.15,-31.65,Fermi
324,653621464,2021-09-18,1:31:00,207.75,-64.967,Fermi
325,653633903,2021-09-18,4:58:19,93.183,-10.45,Fermi
326,653758796,2021-09-19,15:39:52,215.16,-77.1,Fermi
327,653809382,2021-09-20,5:42:57,46.05,40.433,Fermi
328,654034352,2021-09-22,20:12:27,161.65,5.867,Fermi
329,653967649,2021-09-22,1:40:44,293.37,14.12,Fermi
330,654090581,2021-09-23,11:49:37,83.97,-29.89,Fermi
331,654058748,2021-09-23,2:59:03,278.95,-50.54,Fermi
332,654064630,2021-09-23,4:37:06,120.117,70.3,Fermi
333,654210987,2021-09-24,21:16:23,206.45,-7.267,Fermi
334,654217377,2021-09-24,23:02:52,112.1,43.25,Fermi
335,654289952,2021-09-25,19:12:28,344.52,-16.51,Fermi
336,654225613,2021-09-25,1:20:09,47.99,-51.41,Fermi
337,654382283,2021-09-26,20:51:19,347.72,-18.42,Fermi
338,654479691,2021-09-27,23:54:46,246.56,81.42,Fermi
339,654464774,2021-09-27,19:46:10,289.68,10.99,Fermi
340,654396242,2021-09-27,0:43:58,244.37,11.8,Fermi
341,654545778,2021-09-28,18:16:14,33.58,24.11,Fermi
342,654628989,2021-09-29,17:23:04,162.35,-54.683,Fermi
343,654579704,2021-09-29,3:41:39,317.8,12.34,Fermi
344,654637347,2021-09-29,19:42:22,250.69,12.77,Fermi
345,654658271,2021-09-30,1:31:06,294.167,24.15,Fermi
346,654739449,2021-10-01,0:04:04,290.87,18.92,Fermi
347,654828955,2021-10-02,0:55:51,278.45,-35.75,Fermi
348,654893191,2021-10-02,18:46:26,219.8,-27.9,Fermi
349,654854799,2021-10-02,8:06:34,70.21,-4.78,Fermi
350,654847698,2021-10-02,6:08:13,305.933,-53.717,Fermi
351,654889526,2021-10-02,17:45:22,173.43,-19.8,Fermi
352,654961448,2021-10-03,13:44:03,155.35,-33.0,Fermi
353,655079878,2021-10-04,22:37:54,8.8,35.1,Fermi
354,655401471,2021-10-08,15:57:46,293.7,12.85,Fermi
355,655673024,2021-10-11,19:23:40,199.783,-8.483,Fermi
356,655646385,2021-10-11,11:59:41,325.75,20.19,Fermi
357,655668962,2021-10-11,18:15:57,96.883,15.933,Fermi
358,655758259,2021-10-12,19:04:15,324.4,0.567,Fermi
359,655868467,2021-10-14,1:41:02,184.2,-19.71,Fermi
360,211018936,2021-10-18,22:28:13,19.677,-3.599,Fermi
361,656268212,2021-10-18,16:43:28,138.67,-21.57,Fermi
362,656288898,2021-10-18,22:28:14,20.1,4.11,Fermi
363,656315976,2021-10-19,5:59:31,109.56,-39.19,Fermi
364,656350814,2021-10-19,15:40:10,215.467,55.1,Fermi
365,656416134,2021-10-20,9:48:50,114.8,1.633,Fermi
