TrigNum,Date,Time UT,MesgType,RA,Dec,Error,Comments
664034983,2022/1/16,14:09:39,GBM Flight Position,296.217,26.467,3.42,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 262.63,24.42 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(1.0<100sec) coincident with the INTEGRAL event (trignum=9621)."
664034047,2022/1/16,13:54:03,GBM Flight Position,195.333,6.233,34.72,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 202.85,18.88 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664028512,2022/1/16,12:21:48,GBM Flight Position,155.333,69.95,6.6,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 237.28,21.77 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664028512,2022/1/16,12:21:48,GBM Flight Position,154.933,69.85,7.58,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 237.28,21.77 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664028512,2022/1/16,12:21:48,GBM Flight Position,150.717,68.783,10.88,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 237.28,21.77 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664028512,2022/1/16,12:21:48,GBM Flight Position,149.617,68.483,13.58,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 237.28,21.77 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664028512,2022/1/16,12:21:48,GBM Flight Position,175.767,52.783,29.47,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 237.28,21.77 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664025987,2022/1/16,11:39:43,GBM Flight Position,277.417,14.167,13.47,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 90.42,-25.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664024557,2022/1/16,11:15:53,GBM Flight Position,321.45,32.767,35.22,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 8.22,4.60 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664022922,2022/1/16,10:48:38,GBM Flight Position,316.5,12.833,11.6,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 268.62,23.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(2.0<100sec) coincident with the INTEGRAL event (trignum=9618)."
663980106,2022/1/15,22:55:01,GBM Ground Position,35.15,-23.16,7.04,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663980106.fits
663980106,2022/1/15,22:55:01,GBM Ground Position,66.81,-28.44,8.77,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663980106.fits
663980106,2022/1/15,22:55:01,GBM Flight Position,66.683,-25.683,24.3,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 268.22,-22.82 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
663979075,2022/1/15,22:37:51,GBM Final Position,317.78,-14.75,6.69,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
663979075,2022/1/15,22:37:51,GBM Ground Position,310.12,-14.36,5.85,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663979075.fits
663979075,2022/1/15,22:37:51,GBM Ground Position,309.66,-21.56,7.25,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663979075.fits
663979075,2022/1/15,22:37:51,GBM Ground Position,314.25,-23.78,17.46,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663979075.fits
663979075,2022/1/15,22:37:51,GBM Flight Position,322.883,-15.183,23.63,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 209.95,0.72 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
663971735,2022/1/15,20:35:31,GBM Flight Position,294.65,6.533,23.7,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 136.07,24.72 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
663967527,2022/1/15,19:25:23,GBM Flight Position,304.4,29.817,28.35,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 251.08,4.55 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
663966693,2022/1/15,19:11:28,GBM Ground Position,260.95,57.21,5.18,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663966693.fits
663966693,2022/1/15,19:11:28,GBM Ground Position,292.44,44.25,18.02,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663966693.fits
663966693,2022/1/15,19:11:28,GBM Flight Position,301.783,43.033,28.6,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 203.33,22.75 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
663960124,2022/1/15,17:21:59,GBM Final Position,294.09,17.84,2.15,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Short GRB.
663960124,2022/1/15,17:21:59,GBM Ground Position,293.33,16.63,1.82,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_663960124.fits
663960124,2022/1/15,17:21:59,GBM Flight Position,296.633,20.5,3.42,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 171.67,22.48 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
663958832,2022/1/15,17:00:28,GBM Final Position,101.86,10.99,2.81,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
